file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,curve_weight,is_curve_outlier,mass_g,mass_norm
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,0,0.0030966450000000003,50.47301071909304,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,1,0.0050254869696969694,62.64231268069838,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,2,0.0069543289393939394,74.49505718638699,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,3,0.00888317090909091,86.34780169207559,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,4,0.010812012878787879,98.2005461977642,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,5,0.012740854848484848,111.15960929153407,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,6,0.014669696818181819,127.42258908003376,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,7,0.016598538787878786,143.6855688685334,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,8,0.018527380757575755,159.9485486570331,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,9,0.020456222727272724,176.21152844553274,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,10,0.022385064696969693,189.1283480498732,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,11,0.024313906666666663,198.8815507174509,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,12,0.02624274863636364,208.6347533850286,0.7125213007662055,False,0.47,0.027227528241602822
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,13,0.028171590606060608,218.38795605260626,0.7125213007662055,False,0.47,0.027227528241602822
