train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
compression_only,compression,test,0.0,1451.8305376580076,1480.1920222677163,-14.803561405738014,80
compression_only,compression,test,1.0,1398.010549319001,1416.9177713608265,-25.849083847116695,80
compression_only,compression,train,0.0,1249.183510371958,1301.4721228508827,-8.73178058460582,240
compression_only,compression,train,1.0,1103.9578476300528,1141.862884411858,-10.912245045728303,240
compression_only,compression,train,2.0,1009.3253107193326,1063.3277314123613,-7.7132157092348415,320
compression_only,shear,test,0.0,321.66653457075654,330.4578442087987,-11.472585979698044,100
compression_only,shear,test,1.0,187.26576005461516,194.60809475478723,-8.778033735534033,100
compression_only,shear,train,0.0,271.61875743514213,294.3318915892559,-4.2623983174427975,400
compression_only,shear,train,1.0,168.39279971465214,183.05294414037851,-4.392590650905793,400
compression_only,shear,train,2.0,96.65264559083369,100.19101288919833,-8.889790095848104,300
compression_only,unloading,test,0.0,584.6128570019131,751.9215814874741,-2.0271318083053105,80
compression_only,unloading,test,1.0,380.56037617037174,477.89184977028333,-2.2003544863426754,80
compression_only,unloading,test,2.0,461.48765875562566,582.4324369900065,-1.9628778972813206,80
compression_only,unloading,train,0.0,566.9558193760695,682.4457726996526,-3.0048773671877225,320
compression_only,unloading,train,1.0,333.6232845403617,416.8603800975448,-2.3366064506272637,160
compression_only,unloading,train,2.0,273.8349275032842,355.9122306213026,-1.770244901015138,240
compression_only,overall,test,-1.0,655.0223129582178,857.5517083499005,0.016829700660865865,600
compression_only,overall,train,-1.0,531.7803100058874,715.0410504278894,-0.003571635769057613,2620
